2026-08-20T02:12:33.906887,REGN,action=SKIPPED,note=notional_too_small_for_1_share
2026-08-20T02:12:33.967936,longs=AVGO|CSCO|KLAC|AMAT|APH|ETN|PANW|DE|ORCL|LRCX,shorts=ACN|INTU|NOW|REGN|MSFT|CRM|AMGN|MRK|BSX|ADBE
2026-08-24T15:10:36.438594,REGN,action=SKIPPED,note=notional_too_small_for_1_share
2026-08-24T15:10:36.502082,longs=KLAC|LRCX|MU|AMAT|APH|ETN|AMD|TXN|CAT|WMT,shorts=NOW|CRM|MSFT|ACN|REGN|INTU|TGT|ORCL|ADBE|CMCSA
2026-08-31T20:16:07.306942,VRTX,action=SKIPPED,note=notional_too_small_for_1_share
2026-08-31T20:16:07.307093,longs=LLY|BKNG|LOW|ABT|AMAT|TGT|TJX|UBER|KO|REGN,shorts=CRM|NOW|TSLA|ADBE|MU|QCOM|PANW|ORCL|ACN|VRTX
2026-09-07T18:48:50.041304,MU,action=SKIPPED,note=notional_too_small_for_1_share
2026-09-07T18:48:50.093629,VRTX,action=SKIPPED,note=notional_too_small_for_1_share
2026-09-07T18:48:50.093998,DE,action=SKIPPED,note=notional_too_small_for_1_share
2026-09-07T18:48:50.176118,longs=APH|PANW|ADBE|SYK|INTU|LMT|BKNG|UNP|RTX|PM,shorts=CRM|NOW|MRK|GILD|MU|COP|VRTX|DE|TGT|TSLA
